Title,Text,Image,Label
Why quitting heroin substitute methadone is 'vital',"The heroin substitute methadone can be used as a way of weaning addicts off heroin but the substitute can also become addictive.Earlier this year a debate broke out in Scotland when Professor Neil McKeganey, director of the Centre for Drug Misuse Research at the University of Glasgow, said more effort was needed to get people off drugs, including methadone, through abstinence. But a group of 40 specialists, including university professors and doctors who treat addicts, responded: ""If policy makers were to heed the critics' advice to close down methadone treatment or impose an arbitrary time limit on its administration, the community can anticipate more overdose deaths, more HIV and more crime."" So what do recovering addicts think? Chris used methadone for five years to help wean him off heroin but felt he had to quit the drug substitute last October""I just thought, I've got to get a grip here, because I've been in and out of prison since I was 16 - that's half my life,"" he told The Report.  Chris,  an inmate of HMP Edinburgh, lives in Ratho Hall, a specialist Addiction Support Area that helps prisoners achieve abstinence.  ""I heard about Ratho Hall, and it's given me the wake-up call that I needed,"" he said.  Chris was prescribed methadone, a synthetic opiate that is taken orally, to wean him off his heroin addiction but although methadone can help addicts stabilise their lives, it is also addictive.         Ratho Hall is the only facility of its kind in Scotland.  It opened last year in brand new accommodation.  Of the 30 inmates resident last week, 11 have become completely drug-free.  The Scottish government produced its strategy document on drugs, The Road to Recovery, in 2008.  In this, the Community Safety Minister, Fergus Ewing of the SNP, explained how he wants to see ""a new vision"" for Scotland ""where all drug treatment and rehabilitation services are based on the principle of recovery."" This is a shift away from an acceptance that people will stay on methadone for lengthy periods of time unchallenged.  Chris, who started to use heroin when he was 18, talked of his own addiction: ""When you're on heroin or methadone your head's hazy.  I realised when I was on methadone that I was just putting my life on hold.  ""Now I feel that abstinence is a walk in the park compared to taking drugs.  When you're abstinent you can just be yourself - it's a weight off your shoulders.""Chris said he could not have done it on his own.  In Ratho Hall, there are drug counsellors, regular peer-support meetings and medical staff.  Paul Davidson, unit manager of Ratho Hall, explained how the unit works.  ""If guys come in here on a methadone prescription, they have to have a reduction plan.  ""So they'll be reduced at a rate they feel comfortable with and the doctor feels is right for them.""  Around one in five prisoners in Scotland is being prescribed methadone.  But across the whole of Scotland it is estimated that 22,000 people are taking methadone.  Some of them may have been on it for decades.  In England more than 150,000 people are receiving a substitute drug treatment for their addiction, normally methadone.  Maxie Richards, a committed Christian has been helping addicts get clean since 1986, and is a firm believer in abstinence.  Her suburban Glasgow home is an unlikely venue for drug rehabilitation. ""The majority of those I see now want to come off methadone.  And it's harder to come off than heroin, it's so sad.  ""It's also a very debilitating drug too, and can lead to memory loss,"" she explained.James Boyd, one of the addicts who came to Maxie Richards for help, looks fit and well, but when he arrived on her doorstep in June, he was three stone lighter.""I thought death would be better than the way I was feeling.  What methadone does to you is wrecks you physically, mentally and spiritually.  ""I said to myself, I can't do this any more.  Every single person I know is on heroin and they are all on methadone too.""James stopped methadone and all other drugs nearly two months ago.  He thinks he has got over the withdrawal symptoms now.""It's just two weeks ago that I had my first full night's sleep.""Another former addict - Gail - is looking forward to a drug-free life.  She is slowly reducing her methadone dose with the support of her doctor.  Gail has been taking methadone for eight years.  ""A lot of addicts use methadone as a backup plan - so when you can't get hold of any drugs, you've got something to hold you.  ""I was taking heroin on top of my methadone.  Then I took half of it and used to sell the rest, which I know is wrong.""  Eighteen months ago, Gail started to take methadone as it was prescribed.""When I stopped injecting and started to take my full prescription, that's when I started to feel the benefit of methadone.  ""I could get up in the morning, do the housework, and attend the appointments I'd made.  For the first time in many years, Gail is planning for her future with the help of the charity Centrepoint in Edinburgh.  She wants to go into a drug rehabilitation centre to make sure she overcomes her addiction once and for all.  Then she aims to find a job.  And it is her methadone prescription that is keeping her away from heroin.   ",Why quitting heroin substitute methadone is 'vital',0
North Korea leader's eldest son 'opposes dynasty',"The eldest son of North Korean leader Kim Jong-il says he opposes a dynastic succession that would see his younger half-brother take power.Kim Jong-un, the youngest son, has been unveiled as the nation's heir apparent, appearing alongside his father at a series of recent high-profile events.His elder brother, Kim Jong-nam, 39, lives overseas in China and Macau.His comments are highly unusual in the secretive North. But he is not thought to have influence inside the country.He was once thought to be his father's likely successor, but fell out of favour when he was caught trying to sneak into Japan in 2001 using a false passport. ""Personally, I am against third-generation dynastic succession,"" Kim Jong-nam was quoted as saying by Japanese TV station Asahi.""But I think there were internal factors. I think we should adhere to it if there were internal factors involved.""He added that, ""For my part, I am prepared to help my younger brother whenever necessary while I stay abroad.""Kim Jong-nam lives in China and in the gaming resort of Macau, near Hong Kong. Although a member of the ruling family, he is thought to be no longer part of the inner circle that runs the country.  In a rare interview last year in China, he said he had ""no interest"" in taking power.North Korea's ailing leader Kim Jong-il took over the reins of the country after the death of his father Kim Il-sung in 1994.In recent weeks he appears to have designated his youngest son Kim Jong-un his successor.The youngest Kim, who is thought to be about 27, was made a four-star general and promoted to a key position in the ruling Workers' Party last month.He was unveiled to an invited audience of the world's media last weekend during celebrations to mark the 65th anniversary of the ruling party.He would take the Kim dynasty rule over the nation of 24 million into a third generation.He would also inherit a weighty legacy. North Korea is locked in a dispute with the West over its nuclear weapons programme and is struggling to revive its crumbling economy.",North Korea leader's eldest son 'opposes dynasty',0
Paintings by gangster Reggie Kray go on sale in Lincoln,"Seven oil paintings created by notorious gangster Reggie Kray while in prison are being auctioned in Lincoln.The pictures were painted by Kray during art classes attended by him and his brother Ronnie at Parkhurst Prison on the Isle of Wight in the 1970s.A portrait of the Krays by serial poisoner Graham Young will also go under the hammer. The Krays ran a notorious gang in London's East End known as The Firm during the 1950s and 1960s. They were jailed in 1969 for a recommended 30 years - Ronnie for shooting George Cornell in the Blind Beggar pub in Whitechapel and Reggie for stabbing Jack ""The Hat"" McVitie in a North London flat.Auctioneer John Leatt from Thomas Mawer and Son said: ""Whilst not of great artistic merit, these will be popular with collectors of Kray and gangster memorabilia.""We anticipate a great deal of interest in these paintings on sale day and estimate they will fetch between £200 and £300 each.""Young, known as the 'Teacup Poisoner', was fascinated by poisons from a young age. At just 14 in 1962, he laced his step-mother Mollie's food with two poisons - antimony and digitalis - causing her death.After spending nine years in Broadmoor, he was released and went to work in a photographic studio where he had access to dangerous chemicals. Soon after, two colleagues fell ill and died after he spiked their tea with poison. He went on to make 70 others ill before being caught in 1972 and sent to Parkhurst.The sale is taking place on 5 and 6 November.",Paintings by gangster Reggie Kray go on sale in Lincoln,0
Bracklinn Falls Bridge hauled over gorge by hand,"A 20-tonne bridge is being hauled into place by hand because its remote location makes it impossible to use a crane.The new bridge across Bracklinn Falls, near Callander, is expected to be fully in place by Sunday.The wood and copper structure had to be built on site as the thick woodland also meant helicopters could not be used in the construction.The original steel bridge was washed away by floods in August 2004.Very heavy rain in that month also destroyed bridges in nearby Braeleny and Edinample, near Lochearnhead.Kenny Auld, from Loch Lomond and the Trossachs National Park, said building the £110,000 bridge had been an ""exceptionally difficult task"".""It's a 20m span across a very deep gorge,"" he said.""For the last six years the community and the national park have been trying to get a replacement in place.""I've taken three batches of Royal Engineers to the site and they've just laughed in my face and told me I'm crazy.""The national park had to build a small access road to the site to transport materials, but it is only accessible to four-wheel drives or quad bikes.Engineers from Crief-based Strong Bridges built temporary steel rails across the gorge and mounted the bridge on skids so it could be pulled across.""There's a hand winch on the other side with one or two people winching the 20 tonne bridge across,"" said Mr Auld, who is managing the project for the national park.The bridge is made from Douglas firs from the Heritage Plantation in Dunkeld and has a copper roof.When in place, it will give an ""iconic view"" of the falls, Mr Auld said.The project has been funded by the national park, the Forth Valley and Lomond Leader and Scottish Natural Heritage and was built in partnership with Callander Community Development Trust.The trust's John Snodin said people in Callander had lobbied for a new bridge ever since the old one was washed away six years ago.""Both locals and tourists visit the site daily and the new bridge will be a destination in itself as well as a position to view the cataracts, which are impressive.""The bridge is only a short distance from the car park but it can also be utilised to create a series of longer circuits in the Callander area."" It will be officially opened in November after landscaping and footpath work has been completed.",Bracklinn Falls Bridge hauled over gorge by hand,0
Manchester soldier's last words become song,"The final words written by a guardsman killed in Afghanistan will be released as a single by chart act The Soldiers.Guardsman Neil Downes, known as Tony, from Manchester, died in an explosion in Helmand province in 2007.Two letters to his family and girlfriend Jane - written to be opened in the event of his death - were adapted for the song Letters Home.Ronnie Downes, his father, described the track as an ""absolutely fantastic"" tribute to the 20-year-old.It is common practice for serving soldiers to compose a last letter to loved ones, to be opened in the event of their death.The family of Guardsman Downes gave its blessing to production duo Nick Patrick and Jeff Chegwin to use his words.The song includes the lyrics ""I'm sorry to put you through all this, I'm sorry there was no last kiss"" and ""I'm up here in heaven, you're free to start again. My love will never end. I'm sorry to my family and friends"".Guardsman Downes' family welcomed The Soldiers to their pub - The Kings Head in Droylsden - on Wednesday to perform the song.Describing the tribute, Mr Downes said: ""How emotional. How proud. What a testament to him.""It was absolutely fantastic. I'm sure other people when they hear it will feel the same. What a tribute to a lovely lad.""There's so many emotions go through you. There's parts of our letter in it, there's part of Jane's letter in it. The way they sing it so powerfully.""Guardsman Downes, from 1st Battalion The Grenadier Guards, was on patrol when his vehicle was caught in an explosion on 9 June 2007.He had already completed one tour in Iraq with the Inkerman Company of the Grenadier Guards in 2006.",Manchester soldier's last words become song,0
Spiritual guardian of Indonesian volcano dies,"Even after an eruption alert was issued and most villagers on the slopes of Java's Mount Merapi had been evacuated, 83-year old Mbah (grandfather) Maridjan stayed put. The spiritual ""guardian"" of the mountain, his battle to tame one of Indonesia's most active volcanoes ended on Wednesday when he was buried by the mountain's thick ash.He was reportedly found dead in a prayer position in his house, as rescuers also dug out more than two dozen more victims in the area - many who had also refused to leave.In the wake of the eruption, houses and fields were left blanketed in thick, white ash, while leaves had been singed off trees.Villagers say they will mourn the loss of a respected elder who was as important to them as the mountain itself. The mountain is seen as sacred in the region, seen as the home of ancient Javanese spirits.Located on the outskirts of the city of Yogyakarta on Java Island, it regularly causes small eruptions in the area.For years Maridjan had led ceremonies at the volcano, dispersing rice or flowers in or around the crater in an effort to appease spirits. Maridjan believed he had a duty to the late sultan of Yogyakarta, Hamengkubuwono IX, who had appointed him for this purpose.If there were to be an eruption, many villagers believed Maridjan would be warned in a vision. Local beliefs are a mix of Islam, Indonesia's most predominant religion, and those dating from the island's Hindu-Buddhist period.One tradition is the annual Labuhan ceremony, an auspicious event where the palace makes offerings to spirits, including the Goddess of the South Sea, Kanjeng Ratu Kidul.It was Marijan who helped ensure such rituals were upheld.It is not the first time the old man had defied warnings from the authorities about the volcano. In 2006, when Mt Merapi last erupted, Maridjan even went closer to the crater, to meditate.  At the time, he told one journalist: ""I'm not afraid because it's my duty.""I'm like a soldier - they are never scared,"" he added. Perhaps it came as less of a surprise then, when this time, despite government warnings, Mbah Maridjan decided that it was important to stay.One rescue worker said that Maridjan was adamant in his refusal to leave his home village of Kinahrejo, just 5km (three miles) from the crater.""I'm so used to being at home, it's better for me to just stay here and pray,"" Maridjan reportedly told him.A journalist meanwhile perished trying to warn the old man to leave, according to local reports.Maridjan was not the only one who could not bring themselves to leave, and rescuers say they fear the death toll may rise.""I keep thinking about what's happening up there, with my cows, my property,"" said Hadi Sumarmo, who has a farm in Srumbung, a village 5km from the crater's mouth. ""I just want to go back to check. If I hear sirens, I'll get out again quickly.""For many survivors, the region will not be the same without their spiritual protector.""To us, Maridjan is as important as Merapi. Now that he's no longer around, who's going to look after Merapi?"" Wanto, 56, a farmer, told AFP news agency.""What happens if there's another eruption?""But, according to the Jakarta Globe, it was not a shock to the Yogyakarta palace, who had been warned of Maridjan's fate from a premonition.""We had known long before it happened that Mbah Maridjan would be taken by Merapi,"" the newspaper quoted Gusti Prabukusumo, the brother of the current sultan, as saying.""Now that he's gone, we have to choose a new gatekeeper soon.""",Spiritual guardian of Indonesian volcano dies,0
Paralysed trampoline teacher back at school,"An Aberdeenshire teacher who was paralysed from the shoulders down in a trampoline accident has returned to school to take classes.David Henderson, 36, fell while demonstrating exercises at the Gordon Schools in Huntly in 2007.He had now returned, one day a week initially, in his motorised wheelchair.Mr Henderson has also founded a church in a bid to stay positive in the wake of his ordeal, and help others at the same time.The maths teacher had been showing pupils some trampoline manoeuvres in October 2007 when he over rotated, landed on his shoulders, rolled off, and could not feel his legs.He received seven months of treatment in hospital before returning home.He told BBC Scotland: ""I have started lunchtime classes.""That's going to continue, one day a week, and then up to two, to see how much I can cope with.""He has also started a church in Huntly, of which he is pastor, and he explained: ""The church allows me to make a difference.""My mind is into what I can do for others.""Pupils received counselling after the incident.",Paralysed trampoline teacher back at school,0
'Never too old for a sexual infection',"Think of someone with a sexually transmitted infection (STI) and the chances are you will visualise someone young, the age group that is traditionally targetted in awareness campaigns.But in this week's Scrubbing Up, Linda Bailey from the Royal College of Nursing warns STI's are a growing problem for the over 40s, and that the problem is being ignored. Barely a month goes by without new warnings that the rate of sexually transmitted infections (STIs) is rising among the nation's youth.  Chlamydia, syphilis, gonorrhoea, herpes, and genital warts to name just a few are affecting ever-growing numbers with each year that passes. The effects of these infections can range from mild embarrassment through to life-long infertility or in the most serious of cases, premature death.We all know that young people have sex, and unfortunately protection is not always used. Because of this, there is now a plethora of social marketing and advertising campaigns warning teenagers and young adults of the dangers of unprotected sex.But what about the 'older' adults? Do we not count because people assume we no longer have sex? Or is it that being over the age of 40 somehow provides instant immunity to sexually transmitted infections?The truth is times have changed and so has the rate of STIs among older adults. Between 1999 and 2008 the Health Protection Agency reported a 53% increase in gonorrhoea among men aged 45-64 and a 93% increase among women. At the same time, the rate of herpes increased by 130% among this age group. Worryingly, there were also 17,000 new HIV diagnoses.While the incidence of STIs among older adults may be small compared with teenagers and young adults, it is there and it is growing.Sexual freedomThere are an increasing number of people in their 40s, 50s and 60s who are newly single having recently come to the end of a long-term relationship. Many of these people would have also been in secure, stable relationships during the 1980s and impassive to the powerful advertising campaigns that shocked their single friends into protecting themselves from the scourge of HIV and AIDS. Many of these now 'older' adults will have had their first sexual experiences in the relatively safe years before we realised the dawn of Aids was just around the corner. The pill was easily accessible and as teenagers and young people, this generation, felt free to experiment. This group is now once again revelling in sexual freedom, but without the benefit of having ever been the target of public health campaigns to warn them of the dangers. The truth is that infections do not discriminate between 18 or 80 year olds - we all need to be careful.The Department of Health website provides an array of sexual health guidance and leaflets for prisoners, drug users, young men, young women, gay and bi-sexual men, people from black and ethnic communities and sex workers. These people all have needs and their needs are very important. However there is a huge gap in information aimed at people like myself who are single, straight, of a certain age and sexually active. It appears that sex in the over-40s just doesn't happen, or if it does it isn't talked about. There are many excellent campaigns out there to alert the nation's youth to the dangers of unprotected sex. But unfortunately cartoon characters and street slang just don't speak to people like me. Times have changed and sex no longer belongs to the younger generation. We should be embracing the fact 40, 50, 60 and beyond is no longer ""past-it"" and celebrate the young and active lifestyles of the older community. However, to keep the sexually liberated over-40s infection-free, which will also ultimately save the NHS money, we need a dedicated awareness campaign which sends out the right messages through the right channels to the right people.Health advice for the over-40s: Your Comments",'Never too old for a sexual infection',0
PE teacher dies surfing off Perranporth beach,"A 31-year-old PE teacher from Cornwall has died while surfing off Perranporth.Matt Upsher, from Perranporth and who had epilepsy, was surfing on Monday night with his brother. The two became separated for about 20 minutes before Mr Upsher was found on Flat Rock beach. He was flown to the Royal Cornwall Hospital where he died.Police are not treated the death as suspicious. The head teacher at Hayle Community School, where Mr Upsher worked, has paid tribute to him. Falmouth coastguard was alerted and a St Agnes lifeboat and RNAS Culdrose rescue helicopter were launched after Mr Upsher was found at about 2000 BST on Monday.An off-duty doctor who was in the area at the time gave Mr Upsher CPR before he was airlifted to hospital, coastguards said.Head teacher Chris Jackman said Mr Upsher joined Hayle School in September 2001 as a newly qualified teacher, became head of PE in 2004 and was a ""much valued colleague"".   She said: ""Matt was passionate about the pupils and cared deeply for his colleagues. Pupils often commented on how much they had learned from Matt.""We will miss him deeply and our thoughts are with his family and loved ones.""Flowers and tributes have been laid at the beach.",PE teacher dies surfing off Perranporth beach,0
Tobin drops Vicky Hamilton sentence appeal,"Scottish serial killer Peter Tobin has dropped his appeal against his life sentence for murdering schoolgirl Vicky Hamilton.Tobin, 63, who is serving life for murdering three young women, had been challenging his 30-year sentence for killing the Falkirk teenager in 1991.Ms Hamilton, 15, was abducted in Bathgate in West Lothian.Her remains were found 17 years later buried in the garden of Tobin's former home in Margate, Kent.Judge Lord Emslie branded Tobin ""unfit to live in a decent society"" following his conviction at the High Court in Dundee in December 2008.He was given a life sentence and ordered to serve at least 30 years. The appeal at the High Court in Edinburgh centred on Tobin's claim that the sentence was excessive.A hearing relating to the appeal was due to take place on Friday this week.But the Scottish Court Service has now confirmed a Minute of Abandonment had been received and the appeal would not continue.The minute would have been submitted by Tobin's counsel on his behalf.In August, Ms Hamilton's father Michael, and Ian McNicol, whose 18-year-old daughter Dinah was also murdered by Tobin, called for him to be denied the right to a court appeal.The call was made after Tobin failed to turn up at the Court of Appeal in Edinburgh twice through illness.Mr Hamilton said at the time it was ""ridiculous"" that taxpayers' money was being spent on the appeal when the killer would spend the rest of his days in jail.Mr McNicol described the appeal as ""a farce"" and said Tobin was ""a chancer"".Tobin, from Johnstone in Renfrewshire, is serving another two life sentences for the murders of Polish student Angelika Kluk and Ms McNicol.He raped and killed Ms Kluk, 23, at a Glasgow church in September 2006.Ms McNicol vanished in August 1991 while hitchhiking to her home in Tillingham after leaving a music festival in Liphook, Hampshire. Her remains were found alongside those of Ms Hamilton.",Tobin drops Vicky Hamilton sentence appeal,0
